Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,261.500000,263.600006,259.200012,261.500000,238.633835,6133405
2019-01-03,260.000000,265.700012,260.000000,263.000000,240.002670,4880935
2019-01-04,258.200012,263.200012,257.399994,260.000000,237.264999,7337558
2019-01-07,261.700012,268.000000,261.000000,265.700012,242.466599,7192467
2019-01-08,266.399994,269.000000,259.299988,266.500000,243.196640,14955816
2019-01-09,259.000000,275.500000,259.000000,272.600006,248.763245,12468886
2019-01-10,273.200012,279.600006,273.000000,276.000000,251.865906,12487694
2019-01-11,276.000000,281.399994,275.700012,275.799988,251.683395,9474719
2019-01-14,274.600006,277.299988,272.700012,273.600006,249.675781,6083855
2019-01-15,274.000000,276.200012,270.200012,274.500000,250.497070,6018595
2019-01-16,273.799988,277.200012,272.600006,273.000000,249.128250,7269462
2019-01-17,272.200012,273.299988,268.100006,271.500000,247.759415,3899437
2019-01-18,273.000000,279.500000,272.600006,277.899994,253.599792,6314993
2019-01-21,276.100006,278.799988,271.299988,273.000000,249.128250,6739897
2019-01-22,272.799988,281.000000,272.799988,276.700012,252.504730,8272988
2019-01-23,276.700012,280.500000,275.299988,277.299988,253.052231,4390218
2019-01-24,277.899994,280.000000,276.899994,278.600006,254.238556,3253046
2019-01-25,277.799988,283.200012,277.700012,282.700012,257.980072,5962191
2019-01-28,280.299988,282.100006,276.200012,279.000000,254.603592,6078080
2019-01-29,283.000000,287.600006,281.799988,284.000000,259.166412,7011277
2019-01-30,284.799988,288.000000,283.299988,287.500000,262.360321,5741006
2019-01-31,286.600006,289.799988,284.700012,285.200012,260.261475,13527877
2019-02-01,287.100006,288.600006,284.100006,286.899994,261.812775,6242631
2019-02-04,288.100006,289.600006,287.100006,288.600006,263.364166,9524056
2019-02-05,288.399994,292.899994,286.399994,292.899994,267.288147,6724851
2019-02-06,293.700012,294.899994,290.000000,292.600006,267.014374,5179434
2019-02-07,295.700012,296.200012,290.100006,290.899994,265.463043,7100895
2019-02-08,291.000000,293.799988,290.000000,291.899994,266.375610,6731996
2019-02-11,295.399994,296.100006,290.299988,293.899994,268.200684,6889898
2019-02-12,291.200012,293.700012,283.899994,283.899994,259.075104,8522220
2019-02-13,285.100006,285.899994,281.000000,282.000000,257.341248,8697759
